,index,artist,id,album_id,genres,genre
1990,45217,Kodaline,1DIg9155AY65dpR5Lf5Vg4,3IJ5RDbQeiWIf7Fo601JwE,NA,"irish pop, pop"
1991,45233,Brian Wilson,0HmJZ9DpTkKp27RNqYSSQA,5orlKyuXAxzs7uN42XuB4N,NA,sunshine pop
1992,45259,The-Dream,3iJGrfXRepS04IiZP3VBUp,4dQRdTlfpkoOr48Vc524Ry,NA,"deep disco, disco, post-disco, rare groove"
1993,45315,Eric Paslay,1JfBJQwv4pNob6uIIemkFo,79RwxrHw6uKVimeEGyM00W,NA,"contemporary country, country, country pop, country road, modern country rock"
1994,45341,Kenny Lattimore,7eH3d8dytkXTJ8oxLcj14R,5Bhjc30VapT1fy9kKbbWGL,NA,"neo soul, new jack swing, quiet storm, r&b, urban contemporary"
1995,45387,Calexico,7knhITxXvu504ZPFfsWFdq,4QsOzuucw0uoH3cuLA0RLv,NA,"alternative country, folk-pop, indie folk, roots rock, slow core, tucson indie"
1996,45405,The Brooklyn Tabernacle Choir,5n7pJqc1H7lhRb9sabH206,3E5BJGmd2eQUGXGnYHntaR,NA,gospel
1997,45436,Matt And Kim,2l4jtaX2SozBzc5N1g07Bp,7rFcd3kFLaInokU0A7ErcV,NA,"brooklyn indie, folk-pop, indie folk, indie pop, indie poptimism, indie rock, indietronica, modern rock, shimmer pop, stomp and holler"
1998,45459,Josh Garrels,68nNNThyOXq060K1ZAWb2t,4Oj3NQVZjlhji59z6bSKl1,NA,"acoustic pop, anthem worship, ccm, christian indie, christian uplift, folk-pop, indiecoustica, indy indie, neo mellow, stomp and holler, worship"
1999,45480,Rapture Ruckus,5S014B85C75q92oPAl3gEb,2SArkYXNqrTCaLiktIw5TD,NA,"christian alternative rock, christian hip hop, christian rock"
2000,45547,Delta Rae,2o4hpDw0ca4vd57HSwAl3b,0HvAm2vysVverWiodCEhON,NA,folk-pop
2001,45561,Waxahatchee,2Tw0JVhkvkw5X738RrUxwP,0Q31RwMIh0WOxqJDa0F31q,NA,"alabama indie, anti-folk, art pop, folk-pop, freak folk, indie folk, indie punk, indie rock, lo-fi, modern rock, noise pop, preverb, stomp and holler"
2002,45574,Kristian Bush,1QgKc5uM5pv3NaSptG0nM5,1RdAQN05HZUDyIzOFx0Qfj,NA,contemporary country
2003,45586,Will Hoge,0AjJWkBzN3iDik5bOWxRoa,0zefzE91W0QxbrRBNgvXgH,NA,"acoustic pop, heartland rock, neo mellow"
2004,45611,Cassandra Wilson,67ZRyYeZ8rjJgWoXUAi6OP,3Remng6plhUxCGnBHbQsYU,NA,vocal jazz
2005,45718,Madeon,4RWeizdES94TbsDWSrQdLU,3uKLwDjku2Us0c81LEmftR,NA,"big room, complextro, edm, electro house, electropop, filter house"
2006,45812,The Prodigy,7KiiwYYvAUpdhfLLuNtfzK,5OqlVEF1UlF9pe2YVFvZNq,NA,"big beat, breakbeat, electronic, hardcore techno"
2007,45847,Godspeed You! Black Emperor,70QAWKMYBbRgVOl73akcuK,3ld6n4RnKT8mYYOhAOg2Kf,NA,"canadian post-rock, chamber pop, compositional ambient, dark jazz, experimental rock, freak folk, instrumental post-rock, lo-fi, post-rock, slow core"
2008,45899,Matt Maher,4KWDAfSHtRMsZLrDf9p8bG,2p4nNg7P6ckP0D7MFOUTgP,NA,"anthem worship, canadian ccm, ccm, christian alternative rock, christian music, world worship, worship"
