"","artist","song","WeekID","Peak.Position","Weeks.on.Chart","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Month","Season","artist.pop","X","trap","hip.hop","indie","punk","rap","jazz","pop","metal","country","folk","bluegrass","house","rock","opera","classical","instrumental","funk","broadway","Year"
"65","Ace Hood","Hustle Hard",2011-04-23,87,16,0.001,0.789,198173,0.749,6.9e-05,1,0.526,-3.87,1,0.0597,140.07,4,0.084,4,"Spring",0,2689,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2011"
"66","Adam Lambert","For Your Entertainment",2009-11-28,84,2,0.041,0.654,215160,0.872,0,1,0.081,-3.824,1,0.11,130.023,4,0.612,11,"Fall",0,1805,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2009"
"67","Adam Lambert","If I Had You",2010-07-10,94,20,0.011,0.648,228240,0.908,0,4,0.374,-4.251,0,0.108,131.147,4,0.793,7,"Summer",1,1805,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2010"
"68","Adam Lambert","Better Than I Know Myself",2012-01-07,76,1,0.032,0.484,216173,0.812,0,10,0.18,-4.743,1,0.138,109.452,5,0.308,1,"Winter",2,1805,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2012"
"69","Adam Lambert","Ghost Town",2015-07-04,73,17,0.186,0.703,208330,0.736,1.92e-05,4,0.174,-5.709,0,0.046,119.955,4,0.274,7,"Summer",0,1805,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2015"
"70","Adele","Hello",2015-11-14,1,26,0.336,0.481,295493,0.451,0,5,0.087,-6.095,0,0.0347,157.966,4,0.289,11,"Fall",0,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2015"
"71","Adele","Chasing Pavements",2008-11-08,100,7,0.312,0.621,210507,0.473,0,5,0.11,-6.07,0,0.0251,80.027,4,0.325,11,"Fall",0,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2008"
"72","Adele","Send My Love (To Your New Lover)",2015-12-12,79,27,0.042,0.69,223080,0.524,3.16e-06,6,0.17,-8.39,0,0.103,164.023,4,0.562,12,"Winter",1,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2015"
"73","Adele","Turning Tables",2011-05-07,96,3,0.952,0.305,250133,0.452,1.68e-05,0,0.129,-6.077,0,0.0293,79.83,4,0.21,5,"Spring",2,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2011"
"74","Adele","All I Ask",2016-03-05,77,1,0.882,0.587,271800,0.283,0,4,0.149,-5.473,1,0.0279,141.961,4,0.343,3,"Spring",4,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2016"
"75","Adele","When We Were Young",2015-12-12,22,20,0.348,0.381,290907,0.594,0,3,0.092,-5.97,1,0.0486,143.86,4,0.273,12,"Winter",1,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2015"
"76","Adele","Someone Like You",2011-03-12,97,39,0.892,0.559,285040,0.33,0,9,0.098,-8.251,1,0.0285,135.109,4,0.285,3,"Spring",1,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2011"
"77","Adele","Remedy",2015-12-12,87,1,0.891,0.396,245427,0.305,0,2,0.169,-6.481,1,0.0387,165.398,3,0.251,12,"Winter",1,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2015"
"78","Adele","Rumour Has It",2011-08-13,96,27,0.637,0.618,221427,0.753,0,7,0.09,-5.05,0,0.0451,120.041,4,0.557,8,"Summer",3,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2011"
"79","Aerosmith","Jaded",2001-01-27,58,20,0.005,0.523,214164,0.884,2.31333333333333e-05,9,0.096,-4.233,1,0.0514,118.028,4,0.659,1,"Winter",0,980,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2001"
