"","song","artist","WeekID","Peak.Position","Weeks.on.Chart","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Month","Season","artist.pop"
"94","Ain't Worried About Nothin","French Montana",2013-07-06,97,13,0.025,0.689,212427,0.908,0,1,0.092,-2.237,1,0.116,127.978,4,0.694,7,"Summer",0
"95","Ain't Worth The Whiskey","Cole Swindell",2015-01-17,99,19,0.042,0.432,191907,0.738,0,2,0.119,-3.91,1,0.0309,153.712,4,0.503,1,"Winter",2
"96","Alcohol","Brad Paisley",2005-07-02,89,18,0.383,0.546,291113,0.772,1.6145e-05,11,0.189,-5.417,1,0.0314,141.683,3,0.585,7,"Summer",2
"97","Alejandro","Lady Gaga",2010-04-17,72,23,0,0.632,274213,0.789,0.00144,11,0.356,-6.61,0,0.0557,98.986,4,0.35,4,"Spring",5
"98","Alive","Krewella",2013-03-02,99,20,0.003,0.671,288880,0.828,0.00287,9,0.352,-2.907,1,0.053,127.976,4,0.57,3,"Spring",0
"99","Alive","Sia",2015-10-17,99,3,0.254,0.508,263520,0.762,0.000122,6,0.108,-4.217,0,0.0489,99.963,4,0.444,10,"Fall",2
"100","All About That Bass","Meghan Trainor",2014-07-26,84,47,0.057,0.807,187920,0.887,2.87e-06,9,0.124,-3.726,1,0.0503,134.052,4,0.961,7,"Summer",0
"101","All About Tonight","Blake Shelton",2010-07-03,98,19,0.017,0.674,205604,0.939,0,0,0.517,-3.751,1,0.0403,118.062,4,0.862,7,"Summer",3
"102","All Around Me","Flyleaf",2008-01-12,94,20,0.034,0.479,198467,0.884,0,9,0.08,-4.762,1,0.0483,146.922,4,0.452,1,"Winter",0
"103","All Girls Are The Same","Juice WRLD",2018-05-26,92,20,0.077,0.671,165820,0.529,0.000335,0,0.086,-7.226,1,0.307,161.989,4,0.203,5,"Spring",0
"104","All Gold Everything","Trinidad James",2012-12-29,96,20,0.028,0.697,187907,0.75,0,7,0.355,-8.864,1,0.311,99.96,4,0.616,12,"Winter",0
"105","All Good Things (Come To An End)","Nelly Furtado",2007-05-26,99,4,0.273,0.664,311093,0.658,1.13e-05,9,0.115,-7.7,0,0.0397,100.912,4,0.343,5,"Spring",1
"106","All I Ask","Adele",2016-03-05,77,1,0.882,0.587,271800,0.283,0,4,0.149,-5.473,1,0.0279,141.961,4,0.343,3,"Spring",4
"107","All I Ask For Anymore","Trace Adkins",2009-12-12,99,2,0.113,0.498,237169,0.391,8.17e-06,2,0.086,-8.526,1,0.0288,129.912,4,0.291,12,"Winter",3
"108","All I Ever Wanted","Chuck Wicks",2008-10-18,95,4,0.027,0.538,207333,0.773,0,11,0.083,-4.659,1,0.0281,94.053,4,0.611,10,"Fall",1
"109","All I Ever Wanted","Kelly Clarkson",2010-04-24,99,6,0.01,0.633,239107,0.866,0,11,0.227,-3.633,1,0.0443,100.007,4,0.696,4,"Spring",4
"110","All I Want For Christmas Is You","Mariah Carey",2000-01-08,83,28,0.082,0.524,242347,0.886,0,9,0.127,-4.549,0,0.0751,150.039,4,0.506,1,"Winter",2
"111","All I Want To Do","Sugarland",2008-07-05,91,16,0.245,0.705,213360,0.71,1.69e-05,9,0.154,-4.894,1,0.0675,97.031,4,0.735,7,"Summer",5
